Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director
Black Adam,2022,"Action, Adventure, Fantasy",PG-13,tt6443346,Adam Sztykiel,Jaume Collet-Serra
Black Hawk Down,2001,"Action, Drama, History",R,tt0265086,Mark Bowden,Ridley Scott
Black Mass,2015,"Biography, Crime, Drama",R,tt1355683,Mark Mallouk,Scott Cooper
Black Panther,2018,"Action, Adventure, Sci-Fi",PG-13,tt1825683,Ryan Coogler,Ryan Coogler
Black Panther Wakanda Forever,2022,"Action, Adventure, Drama",PG-13,tt9114286,Ryan Coogler,Ryan Coogler
Black Widow,2021,"Action, Adventure, Sci-Fi",PG-13,tt3480822,Eric Pearson,Cate Shortland
Blade Runner 2049,2017,"Action, Drama, Mystery",R,tt1856101,Hampton Fancher,Denis Villeneuve
Blood Diamond,2006,"Adventure, Drama, Thriller",R,tt0450259,Charles Leavitt,Edward Zwick
Blue Valentine,2010,"Drama, Romance",R,tt1120985,Derek Cianfrance,Derek Cianfrance
Boyhood,2014,Drama,R,tt1065073,Richard Linklater,Richard Linklater
Braveheart,1995,"Biography, Drama, History",R,tt0112573,Randall Wallace,Mel Gibson
Bridge of Spies,2015,"Drama, History, Thriller",PG-13,tt3682448,Matt Charman,Steven Spielberg
Broken Arrow,1996,"Action, Adventure, Thriller",R,tt0115759,Graham Yost,John Woo
Bullet Train,2022,"Action, Comedy, Thriller",R,tt12593682,Zak Olkewicz,David Leitch
Bully,2001,"Biography, Crime, Drama",TV-MA,tt0242193,Jim Schutze,Larry Clark
Buried,2010,"Drama, Mystery, Thriller",R,tt1462758,Chris Sparling,Rodrigo Cort?s
Burnt,2015,"Comedy, Drama",R,tt2503944,Steven Knight,John Wells
Capote,2005,"Biography, Crime, Drama",R,tt0379725,Dan Futterman,Bennett Miller
Captain America The Winter Soldier,2014,"Action, Adventure, Sci-Fi",PG-13,tt1843866,Christopher Markus,"Anthony Russo, Joe Russo"
Captain America: Civil War,2016,"Action, Sci-Fi",PG-13,tt3498820,Christopher Markus,"Anthony Russo, Joe Russo"
Captain Marvel,2019,"Action, Adventure, Sci-Fi",PG-13,tt4154664,Anna Boden,"Anna Boden, Ryan Fleck"
Captain Phillips,2013,"Action, Biography, Crime",PG-13,tt1535109,Billy Ray,Paul Greengrass
Cars,2006,"Animation, Adventure, Comedy",G,tt0317219,John Lasseter,"John Lasseter, Joe Ranft"
Cars 2,2011,"Animation, Adventure, Comedy",G,tt1216475,John Lasseter,"John Lasseter, Bradford Lewis"
Cars 3,2017,"Animation, Adventure, Comedy",G,tt3606752,Brian Fee,Brian Fee
Casino Royale,2006,"Action, Adventure, Thriller",PG-13,tt0381061,Neal Purvis,Martin Campbell
Clear and Present Danger,1994,"Action, Crime, Drama",PG-13,tt0109444,Tom Clancy,Phillip Noyce
Cliffhanger,1993,"Action, Adventure, Thriller",R,tt0106582,John Long,Renny Harlin
Closed Circuit,2013,"Crime, Drama, Mystery",R,tt2218003,Steven Knight,John Crowley
Cold Mountain,2003,"Adventure, Drama, Romance",R,tt0159365,Charles Frazier,Anthony Minghella
Color of Night,1994,"Drama, Mystery, Romance",R,tt0109456,Billy Ray,Richard Rush
Conan The Barbarian,1982,"Action, Adventure, Fantasy",R,tt0082198,Robert E. Howard,John Milius
Concussion,2015,"Biography, Drama, Sport",PG-13,tt3322364,Peter Landesman,Peter Landesman
Constantine,2005,"Action, Fantasy, Horror",R,tt0360486,Jamie Delano,Francis Lawrence
Contact,1997,"Drama, Mystery, Sci-Fi",PG,tt0118884,James V. Hart,Robert Zemeckis
Contagion,2011,"Drama, Thriller",PG-13,tt1598778,Scott Z. Burns,Steven Soderbergh
Crazy Stupid Love,2022,"Comedy, Drama, Romance",N/A,tt22029884,Jujur Prananto,Ainun Ridho
Crimson Tide,1995,"Action, Drama, Thriller",R,tt0112740,Michael Schiffer,Tony Scott
Dante's Peak,1997,"Action, Adventure, Thriller",PG-13,tt0118928,Leslie Bohem,Roger Donaldson
Dark Phoenix,2019,"Action, Adventure, Sci-Fi",PG-13,tt6565702,Simon Kinberg,Simon Kinberg
Deadpool,2016,"Action, Comedy",R,tt1431045,Rhett Reese,Tim Miller
Deadpool 2,2018,"Action, Adventure, Comedy",R,tt5463162,Rhett Reese,David Leitch
Defiance,2008,"Action, Drama, History",R,tt1034303,Clayton Frohman,Edward Zwick
Definitely Maybe,2008,"Comedy, Drama, Romance",PG-13,tt0832266,Adam Brooks,Adam Brooks
Deja Vu,2006,"Action, Crime, Sci-Fi",PG-13,tt0453467,Bill Marsilii,Tony Scott
Den Of Thieves,2018,"Action, Crime, Drama",R,tt1259528,Christian Gudegast,Christian Gudegast
Despicable,2010,"Animation, Adventure, Comedy",PG,tt1323594,Cinco Paul,"Pierre Coffin, Chris Renaud"
Despicable Me 2,2013,"Animation, Adventure, Comedy",PG,tt1690953,Cinco Paul,"Pierre Coffin, Chris Renaud"
Devotion,2022,"Action, Biography, Drama",PG-13,tt7693316,Jake Crane,J.D. Dillard
Diamonds Are Forever,1971,"Action, Adventure, Thriller",GP,tt0066995,Richard Maibaum,Guy Hamilton
Die Another Day,2002,"Action, Adventure, Thriller",PG-13,tt0246460,Ian Fleming,Lee Tamahori
Die Hard,1988,"Action, Thriller",R,tt0095016,Roderick Thorp,John McTiernan
Die Hard 2,1990,"Action, Thriller",R,tt0099423,Steven E. de Souza,Renny Harlin
Die Hard with a Vengeance,1995,"Action, Adventure, Thriller",R,tt0112864,Jonathan Hensleigh,John McTiernan
Disclosure,1994,"Drama, Thriller",R,tt0109635,Michael Crichton,Barry Levinson
District 13: Ultimatum,2009,"Action, Crime, Thriller",R,tt1247640,Luc Besson,Patrick Alessandrin
Divergent,2014,"Action, Adventure, Mystery",PG-13,tt1840309,Evan Daugherty,Neil Burger
Django Unchained,2012,"Drama, Western",R,tt1853728,Quentin Tarantino,Quentin Tarantino
Doctor Strange,2016,"Action, Adventure, Fantasy",PG-13,tt1211837,Jon Spaihts,Scott Derrickson
Doctor Strange in the Multiverse of Madness,2022,"Action, Adventure, Fantasy",PG-13,tt9419884,Michael Waldron,Sam Raimi
Don't Look Down,2008,"Drama, Romance",R,tt1233487,Eliseo Subiela,Eliseo Subiela
Double Lover,2017,"Drama, Romance, Thriller",Not Rated,tt6367558,Fran?ois Ozon,Fran?ois Ozon
Downfall,2004,"Biography, Drama, History",R,tt0363163,Bernd Eichinger,Oliver Hirschbiegel
Dr No,1962,"Action, Adventure, Thriller",PG,tt10985716,Richard Maibaum,Terence Young
Dressed to Kill,1980,"Crime, Drama, Mystery",R,tt0080661,Brian De Palma,Brian De Palma
Dumb and Dumber,1994,Comedy,PG-13,tt0109686,Peter Farrelly,"Peter Farrelly, Bobby Farrelly"
Dune,2021,"Action, Adventure, Drama",PG-13,tt1160419,Jon Spaihts,Denis Villeneuve
Eagle Eye,2008,"Action, Mystery, Thriller",PG-13,tt1059786,John Glenn,D.J. Caruso
Edge of Tomorrow,2014,"Action, Adventure, Sci-Fi",PG-13,tt1631867,Christopher McQuarrie,Doug Liman
"Eleven Days, Eleven Nights",1987,"Drama, Romance",R,tt0091002,Rossella Drudi,Joe D'Amato
Elysium,2013,"Action, Drama, Sci-Fi",R,tt1535108,Neill Blomkamp,Neill Blomkamp
Enemy At The Gates,2001,"Action, Drama, War",R,tt0215750,Jean-Jacques Annaud,Jean-Jacques Annaud
Enola Holmes 2 ,2022,"Action, Adventure, Crime",PG-13,tt14641788,Jack Thorne,Harry Bradbeer
Ernest & Celestine,2012,"Animation, Adventure, Comedy",PG,tt1816518,Daniel Pennac,St?hane Aubier
Escape from Alcatraz,1979,"Action, Biography, Crime",PG,tt0079116,J. Campbell Bruce,Don Siegel
Escape Plan,2013,"Action, Thriller",R,tt1211956,Miles Chapman,Mikael H?fstr?m
Eternals,2021,"Action, Adventure, Fantasy",PG-13,tt9032400,Chlo? Zhao,Chlo? Zhao
Everest,2015,"Action, Adventure, Biography",PG-13,tt2719848,William Nicholson,Baltasar Korm?kur
Ex Machina,2014,"Drama, Sci-Fi, Thriller",R,tt0470752,Alex Garland,Alex Garland
exam,2009,"Crime, Horror, Mystery",Not Rated,tt1258197,Stuart Hazeldine,Stuart Hazeldine
Exodus Gods and Kings,2014,"Action, Adventure, Drama",PG-13,tt1528100,Adam Cooper,Ridley Scott
Extraction II,2023,"Action, Thriller",R,tt12263384,Joe Russo,Sam Hargrave
Eye in the Sky,2015,"Action, Drama, Thriller",R,tt2057392,Guy Hibbert,Gavin Hood
Eyes Wide Shut,1999,"Drama, Mystery, Thriller",TV-MA,tt0120663,Stanley Kubrick,Stanley Kubrick
F9: The Fast Saga,2021,"Action, Crime, Thriller",PG-13,tt5433138,Daniel Casey,Justin Lin
Fair Game,2010,"Biography, Drama, Thriller",PG-13,tt0977855,Jez Butterworth,Doug Liman
Fast & Furious,2013,"Action, Adventure, Crime",PG-13,tt1905041,Chris Morgan,Justin Lin
Fast & Furious 6,2013,"Action, Adventure, Crime",PG-13,tt1905041,Chris Morgan,Justin Lin
Fast & Furious Presents: Hobbs & Shaw,2013,"Action, Adventure, Crime",PG-13,tt1905041,Chris Morgan,Justin Lin
Fast Five,2011,"Action, Crime, Thriller",PG-13,tt1596343,Chris Morgan,Justin Lin
Fast X,2023,"Action, Adventure, Crime",PG-13,tt5433140,Dan Mazeau,Louis Leterrier
Feast of Love,2007,"Drama, Romance",R,tt0800027,Allison Burnett,Robert Benton
Five Times Two,2004,"Drama, Romance",R,tt0354356,Fran?ois Ozon,Fran?ois Ozon
Focus,2015,"Comedy, Crime, Drama",R,tt2381941,Glenn Ficarra,"Glenn Ficarra, John Requa"
For Your Eyes Only,1981,"Action, Adventure, Thriller",PG,tt0082398,Richard Maibaum,John Glen
Ford V Ferrari,2019,"Action, Biography, Drama",PG-13,tt1950186,Jez Butterworth,James Mangold
Forrest Gump,1994,"Drama, Romance",PG-13,tt0109830,Winston Groom,Robert Zemeckis
Four Lovers,2010,Romance,Unrated,tt1528750,Antony Cordier,Antony Cordier
Frivolous Lola,1998,"Comedy, Romance",Not Rated,tt0174931,Tinto Brass,Tinto Brass
From Russia With Love,1963,"Action, Adventure, Thriller",PG,tt0057076,Richard Maibaum,Terence Young
Frozen,2013,"Animation, Adventure, Comedy",PG,tt2294629,Jennifer Lee,"Chris Buck, Jennifer Lee"
Furious 7,2015,"Action, Crime, Thriller",PG-13,tt2820852,Chris Morgan,James Wan
Fury,2014,"Action, Drama, War",R,tt2713180,David Ayer,David Ayer
G.I. Joe: Retaliation,2013,"Action, Adventure, Sci-Fi",PG-13,tt1583421,Rhett Reese,Jon M. Chu
Garfield,2004,"Animation, Adventure, Comedy",PG,tt0356634,Jim Davis,Peter Hewitt
Geostorm,2017,"Action, Sci-Fi, Thriller",PG-13,tt1981128,Dean Devlin,Dean Devlin
Get Hard,2015,"Comedy, Crime",R,tt2561572,Jay Martel,Etan Cohen
Ghost,1990,"Drama, Fantasy, Romance",PG-13,tt0099653,Bruce Joel Rubin,Jerry Zucker
Ghost In The Shell,2017,"Action, Crime, Drama",PG-13,tt1219827,Shirow Masamune,Rupert Sanders
Ghosted,2023,"Action, Adventure, Comedy",PG-13,tt15326988,Rhett Reese,Dexter Fletcher
Gladiator,2000,"Action, Adventure, Drama",R,tt0172495,David Franzoni,Ridley Scott
Gods of Egypt,2016,"Action, Adventure, Drama",PG-13,tt2404233,Matt Sazama,Alex Proyas
GoldenEye,1995,"Action, Adventure, Thriller",PG-13,tt0113189,Ian Fleming,Martin Campbell
Goldfinger,1964,"Action, Adventure, Thriller",PG,tt0058150,Richard Maibaum,Guy Hamilton
Gone Baby Gone,2007,"Crime, Drama, Mystery",R,tt0452623,Ben Affleck,Ben Affleck
Gone Girl,2014,"Drama, Mystery, Thriller",R,tt2267998,Gillian Flynn,David Fincher
Good Will Hunting,1997,"Drama, Romance",R,tt0119217,Matt Damon,Gus Van Sant
Gravity,2013,"Drama, Sci-Fi, Thriller",PG-13,tt1454468,Alfonso Cuar?n,Alfonso Cuar?n
Greenland,2020,"Action, Thriller",PG-13,tt7737786,Chris Sparling,Ric Roman Waugh
Greyhound,2020,"Action, Drama, History",PG-13,tt6048922,Tom Hanks,Aaron Schneider
Hacksaw Ridge,2016,"Biography, Drama, History",R,tt2119532,Robert Schenkkan,Mel Gibson
Hail Mary,1985,Drama,Not Rated,tt0089366,Jean-Luc Godard,Jean-Luc Godard
