Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director
London Has Fallen,2016,"Action, Thriller",R,tt3300542,Creighton Rothenberger,Babak Najafi
Looper,2012,"Action, Drama, Sci-Fi",R,tt1276104,Rian Johnson,Rian Johnson
Lord of War,2005,"Crime, Drama",R,tt0399295,Andrew Niccol,Andrew Niccol
Love & Other Drugs,2015,"Drama, Romance",TV-MA,tt3774694,Gaspar No?,Gaspar No?
Love Happens,2009,"Drama, Romance",PG-13,tt0899106,Brandon Camp,Brandon Camp
Love the Coopers,2015,"Comedy, Fantasy, Romance",PG-13,tt2279339,Steven Rogers,Jessie Nelson
Luciferina,2018,"Horror, Mystery",N/A,tt8072078,Gonzalo Calzada,Gonzalo Calzada
Lucy,2014,"Action, Sci-Fi, Thriller",R,tt2872732,Luc Besson,Luc Besson
Madagascar 3: Europe's Most Wanted,2012,"Animation, Adventure, Comedy",PG,tt1277953,Eric Darnell,"Eric Darnell, Tom McGrath, Conrad Vernon"
Man of Steel,2013,"Action, Adventure, Sci-Fi",PG-13,tt0770828,David S. Goyer,Zack Snyder
Marauders,2016,"Action, Crime, Thriller",R,tt3963816,Michael Cody,Steven C. Miller
Margin Call,2011,"Drama, Thriller",R,tt1615147,J.C. Chandor,J.C. Chandor
Marie Antoinette,2006,"Biography, Drama, History",PG-13,tt0422720,Sofia Coppola,Sofia Coppola
Maze Runner The Death Cure,2018,"Action, Adventure, Sci-Fi",PG-13,tt4500922,T.S. Nowlin,Wes Ball
Maze Runner: The Scorch Trials,2015,"Action, Adventure, Sci-Fi",PG-13,tt4046784,T.S. Nowlin,Wes Ball
"McFarland, USA",2015,"Biography, Drama, Sport",PG,tt2097298,Christopher Cleveland,Niki Caro
Me Before You,2016,"Drama, Romance",PG-13,tt2674426,Jojo Moyes,Thea Sharrock
Mechanic: Resurrection,2016,"Action, Adventure, Crime",R,tt3522806,Lewis John Carlino,Dennis Gansel
Medieval,2022,"Action, Drama, History",R,tt8883486,Petr J?kl,Petr J?kl
Meg 2 The Trench,2023,"Action, Adventure, Horror",PG-13,tt9224104,Jon Hoeber,Ben Wheatley
Memories Of My Melancholy Whores,2011,"Comedy, Drama, Romance",N/A,tt1504019,Jean-Claude Carri?re,Henning Carlsen
Miami Vice,2006,"Action, Adventure, Crime",R,tt0430357,Michael Mann,Michael Mann
Midway,2019,"Action, Drama, History",PG-13,tt6924650,Wes Tooke,Roland Emmerich
Minions,2015,"Animation, Adventure, Comedy",PG,tt2293640,Brian Lynch,"Kyle Balda, Pierre Coffin"
Miracle at St Anna,2008,"Action, Drama, War",R,tt1046997,James McBride,Spike Lee
Mission Impossible - Fallout,2018,"Action, Adventure, Thriller",PG-13,tt4912910,Bruce Geller,Christopher McQuarrie
Mission to Mars,2000,"Adventure, Sci-Fi, Thriller",PG,tt0183523,Lowell Cannon,Brian De Palma
Mission: Impossible - Ghost Protocol,2011,"Action, Adventure, Thriller",PG-13,tt1229238,Bruce Geller,Brad Bird
Mission: Impossible - Rogue Nation,2015,"Action, Adventure, Thriller",PG-13,tt2381249,Bruce Geller,Christopher McQuarrie
Moby Dick,1956,"Adventure, Drama",Not Rated,tt0049513,Ray Bradbury,John Huston
Monster Hunter,2020,"Action, Adventure, Fantasy",PG-13,tt6475714,Paul W.S. Anderson,Paul W.S. Anderson
Monster Hunters,2020,"Action, Sci-Fi, Thriller",Unrated,tt12942958,Jeremy M. Inman,Brendan Petrizzo
Moonraker,1979,"Action, Adventure, Sci-Fi",PG,tt0079574,Christopher Wood,Lewis Gilbert
Mr. & Mrs. Smith,2005,"Action, Comedy, Crime",PG-13,tt0356910,Simon Kinberg,Doug Liman
Mr.Brooks,2007,"Crime, Drama, Mystery",R,tt0780571,Bruce A. Evans,Bruce A. Evans
Munich,2005,"Action, Drama, History",R,tt0408306,Tony Kushner,Steven Spielberg
National Treasure,2004,"Action, Adventure, Mystery",PG,tt0368891,Jim Kouf,Jon Turteltaub
National Treasure Book of Secrets,2007,"Action, Adventure, Mystery",PG,tt0465234,Marianne Wibberley,Jon Turteltaub
Need for Speed,2014,"Action, Adventure, Crime",PG-13,tt2369135,George Gatins,Scott Waugh
Never Back Down,2008,"Action, Drama, Sport",PG-13,tt1023111,Chris Hauty,Jeff Wadlow
Never Say Never Again,1983,"Action, Adventure, Thriller",PG,tt0086006,Kevin McClory,Irvin Kershner
Next,2007,"Action, Sci-Fi, Thriller",PG-13,tt0435705,Gary Goldman,Lee Tamahori
Night at the Museum: Battle of the Smithsonian,2009,"Adventure, Comedy, Family",PG,tt1078912,Robert Ben Garant,Shawn Levy
No Doubt,2019,"Comedy, Romance",N/A,tt7368186,Clarence Williams IV,Clarence Williams IV
No Time To Die,2021,"Action, Adventure, Thriller",PG-13,tt2382320,Neal Purvis,Cary Joji Fukunaga
Noah,2014,"Action, Adventure, Drama",PG-13,tt1959490,Darren Aronofsky,Darren Aronofsky
Non-Stop,2014,"Action, Mystery, Thriller",PG-13,tt2024469,John W. Richardson,Jaume Collet-Serra
Notting Hill,1999,"Comedy, Drama, Romance",PG-13,tt0125439,Richard Curtis,Roger Michell
Now You See Me,2013,"Crime, Mystery, Thriller",PG-13,tt1670345,Ed Solomon,Louis Leterrier
Now You See Me 2,2016,"Action, Adventure, Comedy",PG-13,tt3110958,Ed Solomon,Jon M. Chu
Nymphomaniac Vol. II,2013,Drama,Not Rated,tt2382009,Lars von Trier,Lars von Trier
Oblivion,2013,"Action, Adventure, Sci-Fi",PG-13,tt1483013,Karl Gajdusek,Joseph Kosinski
Octopussy,1983,"Action, Adventure, Thriller",PG,tt0086034,George MacDonald Fraser,John Glen
Of Love And Shadows,1994,"Drama, Romance, Thriller",R,tt0110712,Isabel Allende,Betty Kaplan
Olympus Has Fallen ,2013,"Action, Thriller",R,tt2302755,Creighton Rothenberger,Antoine Fuqua
On Her Majesty's Secret Service,1969,"Action, Adventure, Thriller",PG,tt0064757,Simon Raven,Peter R. Hunt
One Day We'll Tell Each Other Everything,2023,"Drama, History, Romance",N/A,tt21654390,Emily Atef,Emily Atef
Original Sin,2001,"Drama, Mystery, Romance",R,tt0218922,Cornell Woolrich,Michael Cristofer
Our Eternal Summer,2021,Drama,N/A,tt15078122,Emilie Aussel,Emilie Aussel
Out of the Blue,2022,"Crime, Drama, Mystery",R,tt15333788,Neil LaBute,Neil LaBute
Outside The Wire,2021,"Action, Adventure, Fantasy",R,tt10451914,Rob Yescombe,Mikael H?fstr?m
Pacific Rim,2013,"Action, Adventure, Sci-Fi",PG-13,tt1663662,Travis Beacham,Guillermo del Toro
Pacific Rim Uprising,2018,"Action, Adventure, Fantasy",PG-13,tt2557478,Steven S. DeKnight,Steven S. DeKnight
Paper Planes,2014,"Drama, Family",Not Rated,tt3328716,Robert Connolly,Robert Connolly
Paper Towns,2015,"Adventure, Comedy, Drama",PG-13,tt3622592,Scott Neustadter,Jake Schreier
Passengers,2016,"Drama, Romance, Sci-Fi",PG-13,tt1355644,Jon Spaihts,Morten Tyldum
Paul Blart Mall Cop 2,2015,"Action, Comedy, Crime",PG,tt3450650,Kevin James,Andy Fickman
Pawn Sacrifice,2014,"Biography, Drama, History",PG-13,tt1596345,Steven Knight,Edward Zwick
Pearl Harbor,2001,"Action, Drama, History",PG-13,tt0213149,Randall Wallace,Michael Bay
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action, Adventure, Fantasy",PG-13,tt1790809,Jeff Nathanson,"Joachim R?nning, Espen Sandberg"
Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy",PG-13,tt1298650,Ted Elliott,Rob Marshall
Please Come With Me,2018,"Drama, Romance",N/A,tt6353976,Michael Ciulla,Michael Ciulla
Polar,2019,"Action, Thriller",TV-MA,tt4139588,Jayson Rothwell,Jonas ?kerlund
Project Almanac,2015,"Drama, Mystery, Sci-Fi",PG-13,tt2436386,Jason Pagan,Dean Israelite
Prometheus,2012,"Adventure, Mystery, Sci-Fi",R,tt1446714,Jon Spaihts,Ridley Scott
Promising Young Woman,2020,"Crime, Drama, Mystery",R,tt9620292,Emerald Fennell,Emerald Fennell
Quantum of Solace,2008,"Action, Adventure, Mystery",PG-13,tt0830515,Paul Haggis,Marc Forster
Rain Man,1988,Drama,R,tt0095953,Barry Morrow,Barry Levinson
Rambo III,1988,"Action, Adventure, Thriller",R,tt0095956,David Morrell,Peter MacDonald
Rango,2011,"Animation, Action, Adventure",PG,tt1192628,John Logan,Gore Verbinski
Ratatouille,2007,"Animation, Adventure, Comedy",G,tt0382932,Brad Bird,"Brad Bird, Jan Pinkava"
Ready Player One,2018,"Action, Adventure, Sci-Fi",PG-13,tt1677720,Zak Penn,Steven Spielberg
Real Steel,2011,"Action, Drama, Sci-Fi",PG-13,tt0433035,John Gatins,Shawn Levy
Red Cliff,2008,"Action, Adventure, Drama",R,tt0425637,John Woo,John Woo
Red Cliff II,2009,"Action, Adventure, Drama",N/A,tt1326972,John Woo,John Woo
Red Notice,2021,"Action, Comedy, Thriller",PG-13,tt7991608,Rawson Marshall Thurber,Rawson Marshall Thurber
Red Shoe Diaries,1992,"Drama, Mystery, Romance",R,tt0105227,Patricia Louisianna Knop,Zalman King
Red Sparrow,2018,"Action, Drama, Thriller",R,tt2873282,Justin Haythe,Francis Lawrence
Red Tails,2012,"Action, Drama, History",PG-13,tt0485985,John Ridley,Anthony Hemingway
Remember the Titans,2000,"Biography, Drama, Sport",PG,tt0210945,Gregory Allen Howard,Boaz Yakin
Resident Evil Afterlife,2010,"Action, Horror, Sci-Fi",R,tt1220634,Paul W.S. Anderson,Paul W.S. Anderson
Restless,2000,"Drama, Romance",R,tt1498569,Aleksi Bardy,Aku Louhimies
Revenge,1990,"Action, Crime, Drama",R,tt0100485,Jim Harrison,Tony Scott
Ricki and the Flash,2015,"Comedy, Drama, Music",PG-13,tt3623726,Diablo Cody,Jonathan Demme
Rio,2011,"Animation, Adventure, Comedy",PG,tt1436562,Carlos Saldanha,Carlos Saldanha
Rogue Agent,2022,"Drama, Thriller",N/A,tt9731386,Michael Bronner,"Declan Lawn, Adam Patterson"
Rogue One,2016,"Action, Adventure, Sci-Fi",PG-13,tt3748528,Chris Weitz,Gareth Edwards
Safe House,2012,"Action, Thriller",R,tt1599348,David Guggenheim,Daniel Espinosa
Sahara,2005,"Action, Adventure, Comedy",PG-13,tt0318649,Clive Cussler,Breck Eisner
Salt,2010,"Action, Thriller",PG-13,tt0944835,Kurt Wimmer,Phillip Noyce
Samsara,2011,"Documentary, Music",PG-13,tt0770802,Ron Fricke,Ron Fricke
Sangre En La Boca,2008,Short,N/A,tt2094106,Marcelo Pitrola,Hern?n Bel?n
Savages,2012,"Action, Crime, Drama",R,tt1615065,Shane Salerno,Oliver Stone
Saving Private Ryan,1998,"Drama, War",R,tt0120815,Robert Rodat,Steven Spielberg
Say Anything,1989,"Comedy, Drama, Romance",PG-13,tt0098258,Cameron Crowe,Cameron Crowe
Scary Movie 4,2006,Comedy,PG-13,tt0362120,Craig Mazin,David Zucker
Secret Defense,2008,Thriller,N/A,tt1003052,Natalie Carter,Philippe Ha?m
Secret Things,2002,"Comedy, Drama, Fantasy",Unrated,tt0287963,Jean-Claude Brisseau,Jean-Claude Brisseau
Serena,2014,"Drama, History, Romance",R,tt1247690,Christopher Kyle,Susanne Bier
Serendipity,2001,"Comedy, Romance",PG-13,tt0240890,Marc Klein,Peter Chelsom
Sherlock Holmes A Game Of Shadows,2011,"Action, Adventure, Mystery",PG-13,tt1515091,Michele Mulroney,Guy Ritchie
Shutter Island,2010,"Mystery, Thriller",R,tt1130884,Laeta Kalogridis,Martin Scorsese
Sicario,2015,"Action, Crime, Drama",R,tt3397884,Taylor Sheridan,Denis Villeneuve
Sicario Day Of The Soldado,2018,"Action, Crime, Drama",R,tt5052474,Taylor Sheridan,Stefano Sollima
Silent House,2011,"Horror, Thriller",R,tt1767382,Gustavo Hern?ndez,"Chris Kentis, Laura Lau"
Silver Linings Playbook,2012,"Comedy, Drama, Romance",R,tt1045658,David O. Russell,David O. Russell
Sisters,2015,Comedy,R,tt1850457,Paula Pell,Jason Moore
Sky Fighters,2005,"Action, Adventure, Drama",Not Rated,tt0421974,Gilles Malen?on,G?rard Pir?s
Skyfall,2012,"Action, Adventure, Thriller",PG-13,tt1074638,Neal Purvis,Sam Mendes
Sliver,1993,"Drama, Thriller",R,tt0108162,Ira Levin,Phillip Noyce
Snakes on a Plane,2006,"Action, Adventure, Crime",R,tt0417148,John Heffernan,David R. Ellis
Snow White and the Huntsman,2012,"Action, Adventure, Drama",PG-13,tt1735898,Evan Daugherty,Rupert Sanders
Snowden,2016,"Biography, Crime, Drama",R,tt3774114,Kieran Fitzgerald,Oliver Stone
Solaris,1972,"Drama, Mystery, Sci-Fi",PG,tt0069293,Stanislaw Lem,Andrei Tarkovsky
Soul Surfer,2011,"Biography, Drama, Family",PG,tt1596346,Sean McNamara,Sean McNamara
Source Code,2011,"Action, Drama, Mystery",PG-13,tt0945513,Ben Ripley,Duncan Jones
Southpaw,2015,"Action, Drama, Sport",R,tt1798684,Kurt Sutter,Antoine Fuqua
Special Forces,2011,"Action, Drama, War",R,tt1656192,St?phane Rybojad,St?phane Rybojad
Species,1995,"Action, Horror, Sci-Fi",R,tt0114508,Dennis Feldman,Roger Donaldson
Species II,1998,"Action, Horror, Sci-Fi",R,tt0120841,Dennis Feldman,Peter Medak
Species The Awakening,2007,"Action, Adventure, Horror",Not Rated,tt0844894,Dennis Feldman,Nick Lyon
Spectral,2016,"Action, Adventure, Sci-Fi",PG-13,tt2106651,Ian Fried,Nic Mathieu
Spectre,2015,"Action, Adventure, Thriller",PG-13,tt2379713,John Logan,Sam Mendes
Speed,1994,"Action, Adventure, Thriller",R,tt0111257,Graham Yost,Jan de Bont
Spirit,2012,"Comedy, Drama",N/A,tt2175672,Ranjith,Ranjith
Spotlight,2015,"Biography, Crime, Drama",R,tt1895587,Josh Singer,Tom McCarthy
Spy Game,2001,"Action, Crime, Thriller",R,tt0266987,Michael Frost Beckner,Tony Scott
Star Trek Beyond,2016,"Action, Adventure, Sci-Fi",PG-13,tt2660888,Simon Pegg,Justin Lin
Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",PG-13,tt1408101,Roberto Orci,J.J. Abrams
Stars At Noon,2022,"Drama, Romance, Thriller",R,tt10354106,Claire Denis,Claire Denis
State Of Play,2009,"Crime, Drama, Mystery",PG-13,tt0473705,Matthew Michael Carnahan,Kevin Macdonald
Stealth,2005,"Action, Adventure, Sci-Fi",PG-13,tt0382992,W.D. Richter,Rob Cohen
Steve Jobs,2015,"Biography, Drama",R,tt2080374,Aaron Sorkin,Danny Boyle
Straw Dogs,1971,"Crime, Drama, Thriller",R,tt0067800,David Zelag Goodman,Sam Peckinpah
Suicide Squad,2016,"Action, Adventure, Fantasy",PG-13,tt1386697,David Ayer,David Ayer
Sunshine,2007,"Sci-Fi, Thriller",R,tt0448134,Alex Garland,Danny Boyle
Sweet November,2001,"Drama, Romance",PG-13,tt0230838,Herman Raucher,Pat O'Connor
Taken 3,2014,"Action, Crime, Thriller",PG-13,tt2446042,Luc Besson,Olivier Megaton
Tears of the Sun,2003,"Action, Drama, Thriller",R,tt0314353,Alex Lasker,Antoine Fuqua
Ted,2012,Comedy,R,tt1637725,Seth MacFarlane,Seth MacFarlane
Tenet,2020,"Action, Sci-Fi, Thriller",PG-13,tt6723592,Christopher Nolan,Christopher Nolan
Terminator,1991,"Short, Action, Sci-Fi",N/A,tt5817168,James Cameron,Ben Hernandez
Terminator 2: Judgment Day,1991,"Action, Sci-Fi",R,tt0103064,James Cameron,James Cameron
Terminator 3 Rise Of the Machines,2003,"Action, Sci-Fi",R,tt0181852,John Brancato,Jonathan Mostow
Terminator Dark Fate,2019,"Action, Adventure, Sci-Fi",R,tt6450804,David S. Goyer,Tim Miller
Terminator Genisys,2015,"Action, Adventure, Sci-Fi",PG-13,tt1340138,Laeta Kalogridis,Alan Taylor
Terminator Salvation,2009,"Action, Adventure, Sci-Fi",PG-13,tt0438488,John Brancato,McG
The 355,2022,"Action, Thriller",PG-13,tt8356942,Theresa Rebeck,Simon Kinberg
The Accountant,2016,"Action, Thriller",R,tt2140479,Bill Dubuque,Gavin O'Connor
The Adjustment Bureau,2011,"Crime, Mystery, Romance",PG-13,tt1385826,George Nolfi,George Nolfi
The Adventures Of Tintin,2011,"Animation, Action, Adventure",PG,tt0983193,Herg?,Steven Spielberg
The Aftermath,2019,"Drama, Romance, War",R,tt5977276,Joe Shrapnel,James Kent
The Age of Adaline,2015,"Drama, Fantasy, Romance",PG-13,tt1655441,J. Mills Goodloe,Lee Toland Krieger
The Alamo,2004,"Drama, History, War",PG-13,tt0318974,Leslie Bohem,John Lee Hancock
The Angry Birds Movie,2016,"Animation, Action, Adventure",PG,tt1985949,Jon Vitti,"Clay Kaytis, Fergal Reilly"
The Anomaly,2014,"Action, Mystery, Sci-Fi",Not Rated,tt2962726,Simon Lewis,Noel Clarke
The Assignment,1997,"Action, Crime, Thriller",R,tt0118647,Dan Gordon,Christian Duguay
The A-Team,2010,"Action, Adventure, Crime",PG-13,tt0429493,Joe Carnahan,Joe Carnahan
The Avengers,2012,"Action, Sci-Fi",PG-13,tt0848228,Joss Whedon,Joss Whedon
The Bank Job,2008,"Crime, Drama, Thriller",R,tt0200465,Dick Clement,Roger Donaldson
The Big Easy,1986,"Comedy, Crime, Drama",R,tt0092654,Daniel Petrie Jr.,Jim McBride
The Blood Oranges,1997,Drama,R,tt0118743,John Hawkes,Philip Haas
The Blue Lagoon,1980,"Adventure, Drama, Romance",R,tt0080453,Henry De Vere Stacpoole,Randal Kleiser
The Boss Baby,2017,"Animation, Adventure, Comedy",PG,tt3874544,Michael McCullers,Tom McGrath
The Bourne Legacy,2012,"Action, Adventure, Thriller",PG-13,tt1194173,Tony Gilroy,Tony Gilroy
The Call,2013,"Drama, Thriller",R,tt1911644,Richard D'Ovidio,Brad Anderson
The Conjuring,2013,"Horror, Mystery, Thriller",R,tt1457767,Chad Hayes,James Wan
The Conjuring 2,2016,"Horror, Mystery, Thriller",R,tt3065204,Chad Hayes,James Wan
The Constant Gardener,2005,"Drama, Mystery, Romance",R,tt0387131,Jeffrey Caine,Fernando Meirelles
The Core,2003,"Action, Adventure, Sci-Fi",PG-13,tt0298814,Cooper Layne,Jon Amiel
The Counselor,2013,"Crime, Drama, Thriller",R,tt2193215,Cormac McCarthy,Ridley Scott
The Courier,2020,"Drama, History, Mystery",PG-13,tt8368512,Tom O'Connor,Dominic Cooke
The Covenant,2023,"Action, Thriller, War",R,tt4873118,Guy Ritchie,Guy Ritchie
The Croods,2013,"Animation, Action, Adventure",PG,tt0481499,Kirk DeMicco,"Kirk DeMicco, Chris Sanders"
The Da Vinci Code,2006,"Mystery, Thriller",PG-13,tt0382625,Akiva Goldsman,Ron Howard
The Dark Knight Rises,2012,"Action, Drama, Thriller",PG-13,tt1345836,Jonathan Nolan,Christopher Nolan
The Dark Side Of The Heart,1992,"Comedy, Romance, Drama",R,tt0104662,Mario Benedetti,Eliseo Subiela
The Day After Tomorrow,2004,"Action, Adventure, Sci-Fi",PG-13,tt0319262,Roland Emmerich,Roland Emmerich
The Day the Earth Stood Still,2008,"Adventure, Drama, Sci-Fi",PG-13,tt0970416,David Scarpa,Scott Derrickson
The Devil's Advocate,1997,"Drama, Fantasy, Mystery",R,tt0118971,Andrew Neiderman,Taylor Hackford
The Devil's Own,1997,"Action, Crime, Drama",R,tt0118972,Kevin Jarre,Alan J. Pakula
The Dreamers,2003,"Drama, Romance",NC-17,tt0309987,Gilbert Adair,Bernardo Bertolucci
The Dunwich Horror,1970,Horror,R,tt0065669,Curtis Hanson,Daniel Haller
The Equalizer,2014,"Action, Crime, Thriller",R,tt0455944,Richard Wenk,Antoine Fuqua
The Equalizer 2,2018,"Action, Crime, Thriller",R,tt3766354,Richard Wenk,Antoine Fuqua
The Exterminating Angels,2006,"Drama, Fantasy",Not Rated,tt0792948,Jean-Claude Brisseau,Jean-Claude Brisseau
The Fate of the Furious,2017,"Action, Crime, Thriller",PG-13,tt4630562,Gary Scott Thompson,F. Gary Gray
The Fault in Our Stars,2014,"Drama, Romance",PG-13,tt2582846,Scott Neustadter,Josh Boone
The Fountain,2006,"Drama, Mystery, Romance",PG-13,tt0414993,Darren Aronofsky,Darren Aronofsky
The Fourth Kind,2009,"Horror, Mystery, Sci-Fi",PG-13,tt1220198,Olatunde Osunsanmi,Olatunde Osunsanmi
The General's Daughter,1999,"Crime, Drama, Mystery",R,tt0144214,Nelson DeMille,Simon West
The Gift,2015,"Drama, Mystery, Thriller",R,tt4178092,Joel Edgerton,Joel Edgerton
The Girl On The Train,2016,"Crime, Drama, Mystery",R,tt3631112,Erin Cressida Wilson,Tate Taylor
The Godfather,1972,"Crime, Drama",R,tt0068646,Mario Puzo,Francis Ford Coppola
The Godfather Part II,1974,"Crime, Drama",R,tt0071562,Francis Ford Coppola,Francis Ford Coppola
The Godfather Part III,1990,"Crime, Drama",R,tt0099674,Mario Puzo,Francis Ford Coppola
The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",R,tt2278388,Stefan Zweig,Wes Anderson
The Gray Man,2022,"Action, Thriller",PG-13,tt1649418,Joe Russo,"Anthony Russo, Joe Russo"
The Great Gatsby,2013,"Drama, Romance",PG-13,tt1343092,Baz Luhrmann,Baz Luhrmann
The Great Wall,2016,"Action, Adventure, Fantasy",PG-13,tt2034800,Carlo Bernard,Yimou Zhang
The Green Mile,1999,"Crime, Drama, Fantasy",R,tt0120689,Stephen King,Frank Darabont
The Grey,2011,"Action, Adventure, Drama",R,tt1601913,Joe Carnahan,Joe Carnahan
The Guns Of Navarone,1961,"Action, Adventure, Drama",Not Rated,tt0054953,Alistair MacLean,J. Lee Thompson
The Heir Apparent Largo Winch,2008,"Action, Thriller",Not Rated,tt0808339,Julien Rappeneau,J?r?me Salle
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",PG-13,tt0903624,Fran Walsh,Peter Jackson
The Holiday,2006,"Comedy, Romance",PG-13,tt0457939,Nancy Meyers,Nancy Meyers
The Hot Spot,1990,"Crime, Drama, Romance",R,tt0099797,Charles Williams,Dennis Hopper
The Hunt For Red October,1990,"Action, Adventure, Thriller",PG,tt0099810,Tom Clancy,John McTiernan
The Hurt Locker,2008,"Drama, Thriller, War",R,tt0887912,Mark Boal,Kathryn Bigelow
The Illusionist,2006,"Drama, Fantasy, Mystery",PG-13,tt0443543,Neil Burger,Neil Burger
The Imitation Game,2014,"Biography, Drama, Thriller",PG-13,tt2084970,Graham Moore,Morten Tyldum
The Insider,1999,"Biography, Drama, Thriller",R,tt0140352,Marie Brenner,Michael Mann
The Intern,2015,"Comedy, Drama",PG-13,tt2361509,Nancy Meyers,Nancy Meyers
The Intern - A Summer Of Lust,2019,"Adult, Drama",N/A,tt11497326,Erika Lust,Erika Lust
The Internship,2013,Comedy,PG-13,tt2234155,Vince Vaughn,Shawn Levy
The Invasion,2007,"Sci-Fi, Thriller",PG-13,tt0427392,David Kajganich,Oliver Hirschbiegel
The Irishman,2019,"Biography, Crime, Drama",R,tt1302006,Steven Zaillian,Martin Scorsese
The Italian Job,2003,"Action, Crime, Thriller",PG-13,tt0317740,Troy Kennedy Martin,F. Gary Gray
The Jackal,1997,"Action, Crime, Drama",R,tt0119395,Kenneth Ross,Michael Caton-Jones
The Last Airbender,2010,"Action, Adventure, Family",PG,tt0938283,M. Night Shyamalan,M. Night Shyamalan
The Last Samurai,2003,"Action, Drama",R,tt0325710,John Logan,Edward Zwick
The Last Stand,2013,"Action, Thriller, Western",R,tt1549920,Andrew Knauer,Jee-woon Kim
The Last Witch Hunter,2015,"Action, Adventure, Fantasy",PG-13,tt1618442,Cory Goodman,Breck Eisner
The Lion King,1994,"Animation, Adventure, Drama",G,tt0110357,Irene Mecchi,"Roger Allers, Rob Minkoff"
The Living Daylights,1987,"Action, Adventure, Thriller",PG,tt0093428,Richard Maibaum,John Glen
The Longest Yard,2005,"Comedy, Crime, Sport",PG-13,tt0398165,Albert S. Ruddy,Peter Segal
The Lucky One,2012,"Drama, Mystery, Romance",PG-13,tt1327194,Will Fetters,Scott Hicks
The Man from U.N.C.L.E.,2015,"Action, Adventure, Comedy",PG-13,tt1638355,Guy Ritchie,Guy Ritchie
The Man with the Golden Gun,1974,"Action, Adventure, Thriller",PG,tt0071807,Richard Maibaum,Guy Hamilton
The Martian,2015,"Adventure, Drama, Sci-Fi",PG-13,tt3659388,Drew Goddard,Ridley Scott
The Mask Of Zorro,1998,"Action, Adventure, Comedy",PG-13,tt0120746,Johnston McCulley,Martin Campbell
The Matrix,1999,"Action, Sci-Fi",R,tt0133093,Lilly Wachowski,"Lana Wachowski, Lilly Wachowski"
The Matrix Reloaded,2003,"Action, Sci-Fi",R,tt0234215,Lilly Wachowski,"Lana Wachowski, Lilly Wachowski"
The Matrix Resurrections,2021,"Action, Sci-Fi",R,tt10838180,Lana Wachowski,Lana Wachowski
The Matrix Revolutions,2003,"Action, Sci-Fi",R,tt0242653,Lilly Wachowski,"Lana Wachowski, Lilly Wachowski"
The Maze Runner,2014,"Action, Mystery, Sci-Fi",PG-13,tt1790864,Noah Oppenheim,Wes Ball
The Meg,2018,"Action, Horror, Sci-Fi",PG-13,tt4779682,Dean Georgaris,Jon Turteltaub
The Model Solution,2002,Drama,R,tt0307180,N/A,Edward Holzman
The Mummy,1999,"Action, Adventure, Fantasy",PG-13,tt0120616,Stephen Sommers,Stephen Sommers
The Mummy Returns,2001,"Action, Adventure, Fantasy",PG-13,tt0209163,Stephen Sommers,Stephen Sommers
The Next 365 Days,2022,"Drama, Romance",TV-MA,tt21106646,Blanka Lipinska,"Barbara Bialowas, Tomasz Mandes"
The Ninth Gate,1999,"Mystery, Thriller",R,tt0142688,Arturo P?rez-Reverte,Roman Polanski
The Notebook,2004,"Drama, Romance",PG-13,tt0332280,Jeremy Leven,Nick Cassavetes
The Outpost,2019,"Action, Drama, History",R,tt3833480,Paul Tamasy,Rod Lurie
The Pale Blue Eye,2022,"Crime, Horror, Mystery",R,tt14138650,Scott Cooper,Scott Cooper
The Paperboy,2012,"Crime, Drama, Mystery",R,tt1496422,Peter Dexter,Lee Daniels
The Patriot,2000,"Action, Drama, History",R,tt0187393,Robert Rodat,Roland Emmerich
The Peacemaker,1997,"Action, Drama, Thriller",R,tt0119874,Leslie Cockburn,Mimi Leder
The Peanuts,2015,"Animation, Adventure, Comedy",G,tt2452042,Craig Schulz,Steve Martino
The Perks Of Being A Wallflower,2012,Drama,PG-13,tt1659337,Stephen Chbosky,Stephen Chbosky
The Piano Teacher,2001,"Drama, Music",R,tt0254686,Michael Haneke,Michael Haneke
The Pink Panther,2006,"Adventure, Comedy, Crime",PG,tt0383216,Len Blum,Shawn Levy
The Pope's Exorcist,2023,"Horror, Thriller",R,tt13375076,Michael Petroni,Julius Avery
The Post,2017,"Biography, Drama, History",PG-13,tt6294822,Liz Hannah,Steven Spielberg
The Reader,2008,"Drama, Romance",R,tt0976051,David Hare,Stephen Daldry
The Red Balloon,1956,"Short, Comedy, Drama",Not Rated,tt0048980,Albert Lamorisse,Albert Lamorisse
The Red Violin,1998,"Drama, Music, Mystery",R,tt0120802,Don McKellar,Fran?ois Girard
The Revenant,2015,"Action, Adventure, Drama",R,tt1663202,Mark L. Smith,Alejandro G. I??rritu
The River Why,2010,"Drama, Romance",PG-13,tt1241329,Thomas A. Cohen,Matthew Leutwyler
The Scarlet Letter,1995,"Drama, Romance",R,tt0114345,Nathaniel Hawthorne,Roland Joff?
The Scorpion King,2002,"Action, Adventure, Fantasy",PG-13,tt0277296,Stephen Sommers,Chuck Russell
